App,Package,Start Time,Duration,Filename
"2048",com.tpcstld.twozerogame,"Feb 15, 2018 @ 06:06:22 PM","48 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
6055,133000,6056,18,6057,60,6057,1401600,6057,1401600,6066,47,6067,1555200,6067,1555200,
6156,133000,6156,22,6157,58,6158,1401600,6158,1401600,6165,46,6166,1555200,6166,1555200,
6256,133000,6257,22,6258,61,6258,1401600,6258,1401600,6271,48,6271,1555200,6272,1555200,
6357,133000,6364,22,6366,95,6366,1401600,6367,1401600,6375,76,6375,1555200,6375,1555200,
6457,133000,6458,22,6460,72,6460,1401600,6461,1401600,6468,58,6468,1555200,6469,1555200,
6558,133000,6559,22,6560,75,6561,1401600,6561,1401600,6567,60,6567,1555200,6568,1555200,
6659,133000,6660,22,6663,52,6664,1401600,6664,1401600,6672,40,6672,1555200,6673,1555200,
6760,133000,6760,22,6762,64,6762,1401600,6763,1401600,6769,46,6769,1555200,6770,1555200,
6860,133000,6861,22,6862,41,6862,1401600,6862,1401600,6867,29,6867,1555200,6868,1555200,
6960,133000,6961,22,6963,74,6964,1401600,6964,1401600,6974,57,6975,1555200,6976,1555200,
7061,133000,7062,22,7063,84,7064,1401600,7064,1401600,7069,64,7073,1555200,7073,1555200,
7162,133000,7163,22,7165,58,7166,1401600,7166,1401600,7180,46,7180,1555200,7180,1555200,
7262,133000,7263,22,7264,50,7264,1401600,7265,1401600,7270,37,7270,1555200,7270,1555200,
7363,133000,7363,22,7365,45,7365,1401600,7366,1401600,7372,34,7372,1555200,7373,1555200,
7463,214000,7464,22,7465,51,7465,1401600,7466,1401600,7471,39,7472,1555200,7472,1555200,
7564,214000,7565,22,7566,59,7567,1401600,7567,1401600,7577,46,7577,1555200,7578,1555200,
7664,214000,7665,22,7667,46,7671,1401600,7672,1401600,7680,40,7685,1555200,7686,1555200,
7765,214000,7766,22,7767,65,7768,1401600,7769,1401600,7778,49,7778,1555200,7779,1555200,
7865,133000,7866,22,7867,57,7868,1401600,7868,1401600,7874,45,7874,1555200,7875,1555200,
7966,133000,7967,22,7968,61,7968,1401600,7969,1401600,7975,48,7976,1555200,7976,1555200,
8066,133000,8067,22,8068,51,8069,1401600,8069,1401600,8075,39,8076,1555200,8076,1555200,
8167,133000,8168,22,8169,48,8169,1401600,8170,1401600,8176,37,8176,1555200,8177,1555200,
8267,214000,8268,22,8269,35,8270,1401600,8270,1401600,8276,24,8277,1555200,8277,1555200,
8368,214000,8368,0,8370,55,8370,1401600,8370,1401600,8380,45,8381,1555200,8381,1555200,
8468,214000,8469,15,8470,53,8471,1401600,8471,1401600,8478,42,8479,1555200,8479,1555200,
8569,214000,8570,15,8571,58,8572,1401600,8574,1401600,8583,46,8583,1555200,8584,1555200,
8669,214000,8670,15,8672,65,8674,1401600,8674,1401600,8687,49,8688,1555200,8688,1555200,
8770,133000,8771,15,8773,65,8773,1401600,8774,1401600,8781,51,8781,1555200,8782,1555200,
8870,133000,8871,15,8872,47,8872,1401600,8873,1401600,8877,35,8877,1555200,8877,1555200,
8971,133000,8972,15,8973,52,8973,1401600,8974,1401600,8980,38,8981,1555200,8981,1555200,
9072,214000,9073,15,9074,56,9075,1401600,9075,1401600,9083,43,9083,1555200,9084,1555200,
9172,214000,9173,15,9175,57,9175,1401600,9176,1401600,9188,43,9188,1555200,9189,1555200,
9273,214000,9273,15,9274,56,9275,1401600,9275,1401600,9282,45,9283,1555200,9283,1555200,
9373,214000,9374,15,9375,61,9376,1401600,9377,1401600,9384,45,9386,1555200,9386,1555200,
9474,133000,9475,16,9476,62,9476,1401600,9477,1401600,9484,47,9484,1555200,9485,1555200,
9574,133000,9575,16,9576,75,9577,1401600,9577,1401600,9581,59,9582,1555200,9582,1555200,
9675,133000,9676,16,9677,53,9678,1401600,9678,1401600,9684,41,9685,1555200,9685,1555200,
9775,133000,9776,16,9777,64,9778,1401600,9778,1401600,9787,51,9787,1555200,9787,1555200,
9876,133000,9876,16,9877,58,9878,1401600,9878,1401600,9884,45,9884,1555200,9884,1555200,
9976,133000,9977,16,9979,52,9979,1401600,9979,1401600,9988,40,9988,1555200,9988,1555200,
10077,133000,10077,16,10078,54,10079,1401600,10079,1401600,10085,42,10085,1555200,10085,1555200,
10177,133000,10178,16,10179,62,10180,1401600,10180,1401600,10184,47,10184,1555200,10185,1555200,
10278,133000,10279,16,10281,51,10281,1401600,10281,1401600,10287,42,10288,1555200,10288,1555200,
10378,133000,10379,16,10381,50,10381,1401600,10382,1401600,10388,36,10388,1555200,10389,1555200,
10429,133000,10430,16,10431,41,10432,1401600,10432,1401600,10439,28,10440,1555200,10440,1555200,
