App,Package,Start Time,Duration,Filename
"System",,"Mar 7, 2018 @ 11:09:14 AM","3 min 53 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11679,1,11762,3454288,11761,0,11768,32,
11768,1,11863,3455032,11862,0,11870,28,
11870,1,11964,3454908,11963,14,11976,23,
11977,1,12069,3455156,12065,14,12076,29,
12076,1,12167,3455284,12166,14,12182,30,
12182,1,12268,3456880,12267,14,12275,43,
12275,1,12372,3458492,12369,14,12393,43,
12393,1,12470,3459612,12468,14,12487,34,
12488,1,12569,3448324,12568,14,12575,48,
12576,1,12669,3448664,12669,14,12678,42,
12678,1,12771,3447968,12770,14,12782,34,
12782,1,12874,3448060,12872,14,12889,24,
12889,1,12973,3448432,12971,20,12989,29,
12989,1,13074,3448060,13072,20,13093,22,
13093,1,13173,3448060,13173,20,13179,44,
13179,1,13274,3448308,13273,20,13280,21,
13280,1,13375,3448184,13374,20,13380,23,
13380,1,13475,3448432,13474,20,13482,17,
13482,1,13576,3448432,13575,20,13582,22,
13582,1,13676,3448928,13675,20,13684,23,
13684,1,13778,3449176,13776,20,13789,19,
13789,1,13878,3448556,13877,20,13899,28,
13899,1,13980,3449052,13978,20,14000,32,
14001,1,14080,3449052,14079,20,14096,26,
14096,1,14182,3448804,14181,20,14193,30,
14193,1,14283,3449176,14282,20,14301,24,
14302,1,14383,3449300,14382,20,14392,30,
14392,1,14486,3449672,14484,20,14503,20,
14503,1,14586,3450168,14585,20,14598,29,
14598,1,14687,3450076,14686,20,14704,26,
14704,1,14787,3450092,14786,20,14800,33,
14800,1,14889,3450216,14888,20,14906,24,
14907,1,14989,3450588,14988,21,15015,27,
15015,1,15090,3450588,15089,21,15098,26,
15098,1,15195,3451208,15194,21,15204,47,
15204,1,15296,3450356,15295,21,15305,29,
15305,1,15396,3450712,15395,21,15408,31,
15408,1,15497,3450836,15496,21,15509,38,
15509,1,15597,3450712,15596,21,15604,24,
15605,1,15698,3450464,15697,21,15706,22,
15706,1,15798,3450340,15797,21,15810,19,
15811,1,15901,3450588,15900,21,15914,27,
15915,1,16001,3450448,16000,20,16012,24,
16012,1,16106,3449332,16102,20,16127,26,
16131,1,16202,3449456,16201,20,16209,39,
16209,1,16305,3449704,16303,20,16317,22,
16317,1,16405,3449952,16403,20,16417,29,
16417,1,16506,3450696,16504,20,16522,24,
16522,1,16608,3450944,16606,20,16638,24,
16639,1,16707,3449952,16706,20,16711,38,
16711,1,16809,3449844,16808,20,16816,19,
16817,1,16910,3450216,16909,20,16921,20,
16921,1,17011,3450092,17010,22,17019,21,
17019,1,17112,3450340,17110,22,17122,20,
17122,1,17215,3453656,17213,22,17224,21,
17224,1,17315,3454028,17313,22,17326,24,
17327,1,17414,3454384,17413,22,17419,29,
17419,1,17516,3454740,17514,22,17529,28,
17529,1,17618,3454616,17616,22,17645,25,
17646,1,17717,3454616,17715,22,17734,30,
17735,1,17817,3454740,17816,22,17830,27,
17830,1,17918,3455608,17917,22,17929,31,
17929,1,18019,3455360,18018,21,18036,31,
18037,1,18121,3454740,18119,21,18144,30,
18145,1,18220,3454988,18219,21,18227,36,
18227,1,18320,3454864,18319,21,18333,22,
18334,1,18421,3454740,18420,21,18432,29,
18432,1,18523,3454740,18522,21,18533,22,
18533,1,18624,3455608,18623,21,18634,24,
18634,1,18724,3455856,18723,21,18738,31,
18738,1,18824,3455532,18823,21,18832,28,
18832,1,18927,3455780,18925,21,18946,30,
18946,1,19027,3456276,19026,21,19040,30,
19041,1,19127,3456276,19126,21,19152,27,
19152,1,19227,3455872,19226,21,19234,49,
19234,1,19330,3455748,19328,21,19344,31,
19345,1,19430,3456244,19428,21,19447,30,
19447,1,19532,3455004,19530,21,19545,30,
19545,1,19632,3455624,19630,21,19649,25,
19649,1,19731,3455500,19730,21,19737,30,
19738,1,19832,3455500,19831,21,19840,23,
19841,1,19932,3455748,19931,21,19940,23,
19940,1,20034,3456120,20033,22,20040,19,
20040,1,20134,3455996,20133,22,20153,36,
20153,1,20235,3456120,20234,22,20243,53,
20244,1,20335,3455996,20334,22,20341,63,
20341,1,20435,3456120,20435,22,20441,39,
20444,1,20536,3456864,20535,22,20544,31,
20544,1,20636,3456740,20636,22,20645,28,
20645,1,20738,3456740,20736,22,20746,23,
20747,1,20840,3456508,20838,22,20849,27,
20849,1,20939,3456880,20938,22,20947,22,
20947,1,21039,3457220,21038,21,21045,20,
21045,1,21144,3457252,21142,21,21159,24,
21160,1,21243,3457004,21241,21,21253,32,
21254,1,21343,3457220,21342,21,21351,27,
21353,1,21444,3456908,21442,21,21452,11,
21452,1,21545,3456908,21543,21,21558,7,
21558,1,21646,3456908,21644,0,21658,4,
21658,1,21749,3456040,21746,0,21770,6,
21770,1,21848,3456288,21846,0,21860,14,
21860,1,21951,3456660,21948,0,21976,13,
21976,1,22054,3457032,22049,0,22073,15,
22073,1,22160,3457032,22155,0,22177,7,
22177,1,22258,3456412,22254,0,22283,12,
22283,1,22357,3456536,22355,0,22374,9,
22374,1,22459,3456536,22457,0,22480,9,
22481,1,22560,3456536,22557,0,22579,5,
22579,1,22662,3457436,22659,0,22680,14,
22680,1,22770,3456196,22763,0,22793,41,
22793,1,22860,3457988,22859,0,22864,38,
22865,1,22961,3456576,22960,0,22967,32,
22967,1,23063,3454360,23061,0,23081,68,
23081,1,23164,3459892,23163,0,23175,81,
23176,1,23265,3461780,23263,0,23274,54,
23274,1,23365,3459436,23364,0,23374,45,
23374,1,23466,3382032,23465,0,23474,90,
23474,1,23567,3397020,23566,0,23574,37,
23574,1,23667,3395904,23666,0,23672,14,
23672,1,23767,3397208,23766,0,23773,15,
23773,1,23869,3404324,23867,0,23881,47,
23881,1,23968,3405440,23967,0,23975,28,
23975,1,24071,3406556,24069,0,24080,26,
24080,1,24171,3409036,24170,0,24176,28,
24176,1,24273,3411860,24271,0,24283,27,
24283,1,24373,3412652,24372,0,24386,40,
24386,1,24474,3402836,24473,0,24482,44,
24482,1,24604,3402836,24603,0,24623,37,
24623,1,24678,3402804,24676,0,24696,18,
24697,1,24780,3402928,24778,0,24797,5,
24797,1,24877,3403176,24877,0,24883,46,
24883,1,24982,3403176,24981,0,24990,48,
24990,1,25032,3403208,25031,0,25036,68,
25037,1,25133,3403796,25133,0,25137,61,
25137,1,25236,3403620,25234,0,25254,29,
25254,1,25335,3425196,25334,0,25341,45,
25341,1,25487,3425552,25486,0,25493,26,
25494,1,25591,3426204,25589,0,25604,24,
25604,1,25639,3427196,25638,0,25650,65,
25650,1,25738,3428388,25738,0,25742,69,
25679,0,25839,3429628,25838,0,25846,28,
25742,0,25940,3430124,25939,0,25946,31,
25846,0,26041,3433224,26040,0,26047,30,
25946,0,26142,3436048,26141,0,26148,27,
26047,0,26248,3443800,26247,0,26274,58,
26148,0,26348,3443160,26347,0,26356,84,
26274,0,26448,3444432,26448,0,26456,61,
26356,0,26549,3447780,26548,0,26558,79,
26456,0,26650,3449800,26649,0,26675,75,
26558,0,26751,3450880,26749,17,26775,75,
26675,0,26852,3451492,26852,17,26865,87,
26775,0,26951,3448672,26950,17,26959,98,
26889,0,27051,3450568,27051,17,27061,95,
26896,1,27152,3435908,27151,17,27160,97,
26959,1,27252,3437456,27251,17,27267,86,
27061,1,27352,3438976,27351,17,27359,89,
27161,1,27455,3428500,27454,17,27459,100,
27267,1,27556,3430012,27555,17,27564,89,
27359,1,27659,3442644,27658,17,27677,88,
27460,1,27759,3448008,27758,0,27767,46,
27566,1,27858,3451744,27858,0,27863,51,
27677,1,27959,3453468,27958,0,27965,61,
27767,1,28060,3456880,28059,0,28074,60,
27864,1,28159,3445748,28159,0,28164,61,
