App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:57:04 PM","1 min 20 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
11104,0,11108,3396348,11148,6,11025,3,11149,1,
11204,0,11209,3397076,11233,10,11149,3,11234,1,
11305,0,11308,3398068,11331,10,11234,3,11332,1,
11405,0,11408,3398936,11421,11,11332,3,11421,1,
11505,0,11507,3399836,11520,37,11421,3,11521,1,
11608,0,11611,3401372,11642,27,11521,3,11643,1,
11709,0,11713,3402456,11733,10,11643,3,11733,1,
11810,0,11814,3402952,11839,6,11733,3,11839,1,
11911,0,11915,3403820,11934,10,11839,3,11934,1,
12013,0,12016,3405060,12039,11,11934,3,12039,1,
12114,0,12117,3405308,12135,10,12039,3,12135,1,
12215,0,12218,3406052,12242,8,12135,3,12243,1,
12314,0,12315,3396844,12320,11,12243,3,12320,1,
12416,0,12418,3397340,12430,7,12320,3,12430,1,
12518,0,12520,3397820,12529,8,12430,3,12530,1,
12620,0,12623,3398440,12650,5,12530,3,12651,1,
12721,0,12725,3398564,12737,14,12650,3,12737,1,
12821,0,12824,3399292,12847,12,12737,3,12847,1,
12922,0,12924,3399788,12936,9,12847,3,12937,1,
13024,0,13027,3400392,13047,5,12937,3,13047,1,
13125,0,13128,3401012,13147,6,13047,3,13148,1,
13226,0,13231,3401712,13240,10,13147,3,13240,1,
13328,0,13331,3402564,13346,7,13240,3,13347,1,
13430,0,13433,3403184,13439,7,13347,3,13439,1,
13533,0,13536,3404176,13554,7,13439,3,13554,1,
13633,0,13636,3405044,13654,10,13554,3,13654,1,
13736,0,13739,3405756,13756,8,13654,3,13756,1,
13841,0,13845,3406252,13871,8,13756,3,13872,1,
13939,0,13941,3407616,13956,21,13872,3,13956,1,
14041,0,14044,3397448,14062,9,13956,3,14063,1,
14143,0,14145,3398068,14164,8,14063,3,14164,1,
14243,0,14245,3398440,14258,7,14164,3,14258,1,
14344,0,14346,3399432,14366,8,14258,3,14366,1,
14445,0,14446,3399680,14456,8,14366,3,14456,1,
14497,0,14500,3399432,14519,5,14456,3,14519,1,
14598,0,14601,3400272,14620,7,14519,3,14621,1,
14699,0,14703,3400892,14729,7,14621,3,14730,1,
14800,1,14803,3401636,14821,8,14730,3,14822,1,
14901,0,14905,3402348,14931,9,14822,3,14932,1,
15001,0,15005,3404240,15026,35,14932,3,15026,1,
15102,0,15104,3406224,15126,33,15026,3,15127,1,
15202,0,15203,3407836,15210,33,15126,3,15210,1,
15303,0,15304,3409572,15309,32,15210,3,15310,1,
15403,0,15404,3413540,15408,29,15310,3,15408,1,
15504,0,15505,3418220,15510,36,15408,3,15511,1,
15605,0,15606,3331156,15614,66,15511,3,15615,1,
15705,0,15706,3291100,15714,66,15614,3,15714,1,
15805,0,15806,3292752,15809,41,15714,3,15809,1,
15906,0,15907,3292488,15914,5,15809,3,15914,1,
16006,0,16007,3292488,16012,3,15914,3,16012,1,
16110,0,16114,3292612,16134,9,16012,3,16134,1,
16210,0,16213,3292488,16221,9,16134,3,16221,1,
16309,0,16310,3292488,16324,11,16221,3,16325,1,
16411,0,16415,3292488,16434,10,16325,3,16434,1,
16515,0,16518,3292456,16535,10,16434,3,16536,1,
16618,0,16624,3292084,16645,9,16536,3,16646,1,
16718,0,16721,3292052,16741,6,16646,3,16742,1,
16820,0,16824,3292036,16837,6,16742,3,16837,1,
16921,0,16924,3291912,16945,7,16837,3,16946,1,
17021,0,17025,3292160,17045,6,16946,3,17046,1,
17122,0,17125,3292144,17145,3,17045,3,17145,1,
17222,0,17224,3289292,17235,7,17145,3,17236,1,
17324,0,17327,3289540,17337,7,17236,3,17338,1,
17426,0,17429,3289588,17450,9,17338,3,17451,1,
17527,0,17530,3289588,17552,13,17451,3,17553,1,
17627,0,17631,3289836,17657,11,17553,3,17658,1,
17729,0,17732,3289836,17752,8,17658,3,17753,1,
17834,0,17838,3290256,17864,8,17753,3,17865,1,
17935,0,17938,3290580,17954,10,17864,3,17955,1,
18034,0,18036,3290424,18048,6,17955,3,18048,1,
18137,0,18140,3290548,18159,5,18048,3,18159,1,
18237,0,18240,3290920,18258,5,18159,3,18259,1,
18339,0,18342,3291028,18363,5,18259,3,18364,1,
18440,0,18445,3290904,18471,4,18364,3,18472,1,
18540,0,18544,3291152,18563,16,18472,3,18563,1,
18642,0,18645,3291384,18661,18,18563,3,18661,1,
18744,0,18747,3291880,18766,8,18661,3,18767,1,
18847,0,18852,3292128,18875,7,18767,3,18875,1,
