App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:55:21 PM","1 min 2 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
11060,0,11064,3458304,11072,33,10981,3,11073,1,
11160,0,11162,3449716,11173,26,11072,3,11173,1,
11263,0,11266,3449964,11283,4,11173,3,11284,1,
11362,0,11365,3450708,11383,9,11284,3,11384,1,
11464,0,11467,3451300,11488,7,11384,3,11489,1,
11565,0,11570,3451920,11590,6,11488,3,11591,1,
11666,0,11672,3451344,11700,7,11591,3,11700,1,
11768,0,11773,3451964,11799,9,11700,3,11799,1,
11870,0,11874,3452336,11898,14,11799,3,11899,1,
11971,0,11975,3453080,12004,7,11898,3,12004,1,
12074,0,12079,3453700,12105,6,12004,3,12105,1,
12173,0,12175,3454180,12202,11,12105,3,12202,1,
12274,0,12277,3454876,12295,14,12202,3,12296,1,
12376,0,12380,3455372,12401,7,12296,3,12401,1,
12477,0,12482,3456116,12508,8,12401,3,12509,1,
12579,0,12582,3456984,12600,10,12508,3,12601,1,
12681,0,12686,3457696,12713,7,12601,3,12713,1,
12782,0,12786,3448520,12812,21,12713,3,12813,1,
12881,0,12884,3448768,12900,11,12813,3,12900,1,
12982,0,12986,3449824,13002,8,12900,3,13002,1,
13084,0,13088,3450072,13115,6,13002,3,13115,1,
13186,1,13190,3447280,13213,8,13115,3,13213,1,
13288,1,13291,3448024,13310,6,13213,3,13311,1,
13389,1,13392,3448768,13412,7,13311,3,13412,1,
13488,1,13490,3449284,13503,12,13412,3,13503,1,
13590,1,13595,3449904,13616,8,13503,3,13616,1,
13690,1,13693,3450524,13709,10,13616,3,13710,1,
13792,0,13796,3451144,13824,6,13710,3,13824,1,
13892,0,13894,3451764,13910,10,13824,3,13911,1,
13995,0,13999,3452632,14019,8,13911,3,14020,1,
14096,0,14100,3453468,14122,7,14020,3,14123,1,
14196,0,14201,3454212,14224,8,14123,3,14225,1,
14299,0,14303,3455204,14327,9,14225,3,14328,1,
14399,0,14401,3445904,14422,17,14328,3,14422,1,
14501,0,14504,3446772,14525,8,14422,3,14526,1,
14602,0,14605,3447640,14624,8,14526,3,14624,1,
14702,0,14705,3448232,14721,9,14624,3,14722,1,
14804,0,14810,3449224,14828,10,14722,3,14829,1,
14905,0,14908,3449968,14928,7,14828,3,14929,1,
15006,0,15009,3449968,15028,9,14929,3,15029,1,
15107,0,15111,3450464,15131,8,15028,3,15132,1,
15207,0,15208,3451188,15213,9,15132,3,15213,1,
15308,0,15310,3451436,15323,9,15213,3,15323,1,
15408,0,15410,3453220,15415,25,15323,3,15415,1,
15511,0,15514,3453376,15533,10,15415,3,15534,1,
15612,0,15616,3454492,15637,16,15534,3,15638,1,
15713,0,15716,3455112,15724,8,15637,3,15725,1,
15815,0,15817,3455856,15836,9,15725,3,15837,1,
15916,0,15920,3456848,15944,7,15837,3,15944,1,
16017,0,16030,3457856,16045,13,15944,3,16045,1,
16116,0,16117,3447736,16122,31,16045,3,16122,1,
16219,0,16220,3447984,16226,10,16122,3,16226,1,
16321,0,16325,3448480,16343,4,16226,3,16343,1,
16422,0,16425,3449224,16441,9,16343,3,16441,1,
16524,0,16527,3449968,16541,8,16441,3,16541,1,
16624,0,16628,3450340,16653,4,16541,3,16654,1,
16732,0,16735,3450728,16756,5,16654,3,16757,1,
16836,0,16841,3450916,16857,10,16757,3,16858,1,
16886,0,16889,3451256,16908,7,16858,3,16909,1,
16986,1,16988,3451628,16999,12,16909,3,16999,1,
17088,0,17091,3452248,17109,7,16999,3,17110,1,
17189,0,17193,3452900,17212,8,17110,3,17212,1,
17290,0,17293,3453768,17320,6,17212,3,17321,1,
